level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,MLKEM512,rsa:2048,0.118,0.13624411190257352,1.05,1.0868591084046648,1.176,1.2231052450163729,3,1,3,3,35.4k,1486,2245
1,,X25519,rsa:2048,0.145,0.16863778358474876,1.064,1.1033649591685226,1.223,1.2719900816629548,3,1,3,3,34.2k,724,1509
1,,bikel1,rsa:2048,0.773,0.7733597209584471,2.725,2.7577983014861998,3.492,3.5311580224446466,3,1,3,3,13.4k,2227,3050
1,,p256,rsa:2048,0.166,0.192399124159625,1.097,1.1355400629163583,1.281,1.3279408771280532,3,1,3,3,33.0k,757,1542
1,,p256\_bikel1,rsa:2048,3.969,4.013307520891365,2.874,2.9149045142114063,6.863,6.928226082110347,3,1,3,3,5.5k,2292,3115
1,,p256\_mlkem512,rsa:2048,3.668,3.720033181126332,1.415,1.4369349977165475,5.091,5.1569144466433245,3,1,3,3,6.7k,1551,2310
3,,MLKEM768,rsa:2048,0.13,0.15030297885016383,1.061,1.1001727188775359,1.201,1.2504732044445768,3,1,3,3,34.1k,1870,2565
3,,bikel3,rsa:2048,1.445,1.4588173007377405,5.652,5.73630613425926,7.101,7.195141203703703,3,1,3,3,7.0k,3769,4592
3,,p384,rsa:2048,1.374,1.4069637629161882,1.73,1.7542340150699676,3.1,3.1611870111230713,3,1,3,3,14.2k,789,1574
3,,p384\_bikel3,rsa:2048,6.537,6.605785912027068,6.374,6.406924284395198,12.941,13.012540781779009,3,1,3,3,3.3k,3866,4689
3,,p384\_mlkem768,rsa:2048,5.505,5.560871100164204,2.02,2.0648098952987066,7.551,7.62566557175118,3,1,3,3,5.0k,1967,2662
5,,MLKEM1024,rsa:2048,0.143,0.1659423653828672,1.07,1.1098865454545455,1.226,1.2758296666666666,3,1,3,3,33.6k,2254,3045
5,,p521,rsa:2048,3.043,3.094958032955716,2.569,2.6043883095146128,5.626,5.699354705806617,3,1,3,3,7.9k,825,1610
5,,p521\_mlkem1024,rsa:2048,8.056,8.131833379927313,2.892,2.933072147651007,10.9765,11.06494043624161,3,1,3,3,3.6k,2387,3178
