level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,MLKEM512,rsa:2048,1.116,1.2808697849237838,0.321,0.40167177581022384,1.475,1.6825398012028066,1,1,1,1,24.3k,1382,2141
1,,X25519,rsa:2048,1.047,1.1737119937170426,0.308,0.3589697049033175,1.381,1.5327022104200172,1,1,1,1,27.2k,620,1405
1,,bikel1,rsa:2048,1.882,2.1456036016722053,2.503,2.853294199635467,4.552,4.998847003323683,1,1,1,1,9.5k,2123,2946
1,,p256,rsa:2048,1.155,1.238784050001978,0.355,0.40398287048025955,1.545,1.6427817865337448,1,1,1,1,25.7k,653,1438
1,,p256\_bikel1,rsa:2048,6.797,7.498810948250075,3.0825,3.4775436864153204,10.0915,10.976704667863554,1,1,1,1,3.4k,2188,3011
1,,p256\_mlkem512,rsa:2048,6.059,6.423709910304091,0.836,0.934870897155361,6.998,7.358703501094092,1,1,1,1,4.7k,1447,2206
3,,MLKEM768,rsa:2048,1.121,1.2552572339280539,0.331,0.40501759470089005,1.494,1.6602803974332436,1,1,1,1,24.5k,1766,2461
3,,bikel3,rsa:2048,2.7605,3.057282014090344,6.476,6.981052435233161,9.415,10.037843937823833,2,1,2,2,4.9k,3717,4540
3,,p384,rsa:2048,2.8975,2.9527423137564055,1.193,1.2381428008278308,4.112,4.190898097959988,1,1,1,1,10.3k,685,1470
3,,p384\_bikel3,rsa:2048,8.351,8.512710220440882,8.023,8.250206495589415,16.328,16.763378909382517,2,1,2,2,2.5k,3814,4637
3,,p384\_mlkem768,rsa:2048,7.678,7.927098679098679,1.482,1.5792398342398342,9.205,9.506338513338514,1,1,1,1,3.9k,1863,2558
5,,MLKEM1024,rsa:2048,1.106,1.2503144931721606,0.337,0.40590754187639244,1.479,1.6562269164122452,1,1,1,1,24.7k,2150,2941
5,,p521,rsa:2048,4.835,4.982682513018646,2.14,2.289454805107527,7.0975,7.272027721774194,1,1,1,1,6.0k,721,1506
5,,p521\_mlkem1024,rsa:2048,11.76,12.06907779886148,2.7495,2.9734700075930145,14.5115,15.043100227790433,1,1,1,1,2.7k,2283,3074
