level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,rate 1mbit,MLKEM512,rsa:2048,8.5125,8.824388888888889,12.293,12.386897133220911,20.947,21.212091062394602,3,1,3,3,606,1486,2245
1,delay 500ms,MLKEM512,rsa:2048,501.064,501.8045263157895,501.404,501.6149444444444,1002.5835,1003.4990555555556,3,1,3,3,20,1486,2245
1,rate 1mbit,X25519,rsa:2048,2.529,2.587833082706767,12.8645,12.871670180722893,15.2895,15.459638554216868,3,1,3,3,678,724,1509
1,delay 500ms,X25519,rsa:2048,501.22,502.5078888888889,501.899,502.98976470588235,1002.911,1005.5244705882352,3,1,3,3,20,724,1509
1,delay 500ms,bikel1,rsa:2048,501.755,501.9651578947368,502.991,503.4584444444444,1004.87,1005.4606111111111,3,1,3,3,20,2227,3050
1,rate 1mbit,bikel1,rsa:2048,16.118,16.411075144508672,12.304,12.288839768339768,28.644,28.70041891891892,3,1,3,3,529,2227,3050
1,rate 1mbit,p256,rsa:2048,2.881,2.838714285714286,12.8155,12.92512951807229,15.734,15.763790662650601,3,1,3,3,678,757,1542
1,delay 500ms,p256,rsa:2048,500.844,501.1015555555556,501.542,501.8779411764706,1002.9,1003.0175294117647,3,1,3,3,20,757,1542
1,rate 1mbit,p256\_bikel1,rsa:2048,19.882,20.28256935817805,12.31,12.22851867219917,32.4475,32.51248132780083,3,1,3,3,492,2292,3115
1,delay 500ms,p256\_bikel1,rsa:2048,505.393,505.5341052631579,502.928,503.50083333333333,1008.389,1009.0743333333334,3,1,3,3,20,2292,3115
1,rate 1mbit,p256\_mlkem512,rsa:2048,12.4525,12.866309523809525,12.307,12.354188990825689,25.134,25.219605504587154,3,1,3,3,555,1551,2310
1,delay 500ms,p256\_mlkem512,rsa:2048,504.811,505.06452631578946,501.7725,502.16766666666666,1006.671,1007.2487777777778,3,1,3,3,20,1551,2310
3,delay 500ms,MLKEM768,rsa:2048,500.976,501.5508888888889,501.777,502.0545294117647,1002.801,1003.6042941176471,3,1,3,3,20,1870,2565
3,rate 1mbit,MLKEM768,rsa:2048,11.346,11.715236135957065,12.2865,12.2432311827957,23.698,23.959109318996415,3,1,3,3,569,1870,2565
3,delay 500ms,bikel3,rsa:2048,502.795,502.74257894736843,505.849,505.9988333333333,1008.645,1008.7731666666666,4,2,4,4,20,3873,4696
3,rate 1mbit,bikel3,rsa:2048,29.9305,30.4210625,12.23,11.820587951807228,42.186,42.242409638554214,3,1,3,3,423,3769,4592
3,rate 1mbit,p384,rsa:2048,3.915,3.9957963246554367,12.718,12.861730061349693,16.7795,16.858139570552147,3,1,3,3,665,789,1574
3,delay 500ms,p384,rsa:2048,502.4935,502.6407222222222,501.974,502.62970588235294,1004.373,1005.2687647058823,3,1,3,3,20,789,1574
3,delay 500ms,p384\_bikel3,rsa:2048,508.143,508.34442105263156,506.8245,507.10238888888887,1015.2105,1015.5065555555556,4,2,4,4,20,3970,4793
3,rate 1mbit,p384\_bikel3,rsa:2048,35.832,36.52553470437018,12.2315,11.812046391752576,48.094,48.341840206185566,3,1,3,3,396,3866,4689
3,delay 500ms,p384\_mlkem768,rsa:2048,506.821,507.29031578947365,502.179,502.4763888888889,1009.174,1009.8205,3,1,3,3,20,1967,2662
3,rate 1mbit,p384\_mlkem768,rsa:2048,17.481,17.698270216962523,12.3135,12.31398023715415,29.9475,30.01221541501976,3,1,3,3,517,1967,2662
5,rate 1mbit,MLKEM1024,rsa:2048,15.81,16.272558766859344,12.2615,12.051162162162163,28.118,28.32468532818533,3,1,3,3,529,2254,3045
5,delay 500ms,MLKEM1024,rsa:2048,500.945,501.0565263157895,501.4005,501.828,1002.6415,1002.8984444444444,3,1,3,3,20,2254,3045
5,rate 1mbit,p521,rsa:2048,6.048,6.099417862838916,12.8525,12.905782747603833,18.767,19.004814696485624,3,1,3,3,640,825,1610
5,delay 500ms,p521,rsa:2048,503.918,504.0534117647059,502.8685,503.09975,1006.878,1007.161625,3,1,3,3,20,825,1610
5,rate 1mbit,p521\_mlkem1024,rsa:2048,25.102,25.4690871459695,12.222,11.902497816593888,37.2445,37.37362227074236,3,1,3,3,468,2387,3178
5,delay 500ms,p521\_mlkem1024,rsa:2048,509.336,509.54768421052637,502.941,502.9904444444444,1012.41,1012.3847222222222,3,1,3,3,20,2387,3178
