level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,rate 1mbit,MLKEM512,rsa:2048,19.6965,20.21798954703833,2.098,2.3075794066317625,21.977,22.526232111692845,1,1,1,1,584,1382,2141
1,delay 500ms,MLKEM512,rsa:2048,501.993,502.92026315789474,501.557,502.5426111111111,1003.6645,1005.5418333333333,1,1,1,1,20,1382,2141
1,rate 1mbit,X25519,rsa:2048,12.818,13.059822021116139,2.079,2.247009063444109,15.069,15.307912386706949,1,1,1,1,674,620,1405
1,delay 500ms,X25519,rsa:2048,502.184,504.57594117647056,501.1605,501.624625,1003.4375,1005.2845,1,1,1,1,20,620,1405
1,delay 500ms,bikel1,rsa:2048,502.8195,503.1518333333333,503.526,503.99264705882354,1006.413,1007.152705882353,1,1,1,1,20,2123,2946
1,rate 1mbit,bikel1,rsa:2048,27.4335,28.135453441295546,4.707,4.920645030425964,32.302,33.05718864097363,1,1,1,1,503,2123,2946
1,rate 1mbit,p256,rsa:2048,13.263,13.536276176024279,2.1285,2.354062310030395,15.6275,15.889904255319149,1,1,1,1,672,653,1438
1,delay 500ms,p256,rsa:2048,502.628,503.1075625,501.151,502.0344666666667,1003.504,1005.1613333333333,1,1,1,1,20,653,1438
1,rate 1mbit,p256\_bikel1,rsa:2048,33.212,34.13679820627802,5.293,5.479528089887641,38.819,39.62187191011236,1,1,1,1,454,2188,3011
1,delay 500ms,p256\_bikel1,rsa:2048,507.8085,510.6882777777778,504.152,504.7,1011.548,1015.5834705882353,2,1,2,2,20,2240,3063
1,rate 1mbit,p256\_mlkem512,rsa:2048,25.612,25.94864491362764,2.9285,3.0635576923076924,28.706,29.009186538461538,1,1,1,1,530,1447,2206
1,delay 500ms,p256\_mlkem512,rsa:2048,507.4245,508.9306666666667,503.067,505.43376470588237,1010.631,1014.391705882353,1,1,1,1,20,1447,2206
3,delay 500ms,MLKEM768,rsa:2048,502.158,504.59826315789473,501.1795,501.7351111111111,1004.5905,1006.4513333333334,1,1,1,1,20,1766,2461
3,rate 1mbit,MLKEM768,rsa:2048,22.151,22.628261343012706,2.106,2.2914454545454546,24.456,24.921476363636362,1,1,1,1,560,1766,2461
3,delay 500ms,bikel3,rsa:2048,503.821,504.6981578947368,506.8015,507.1609444444444,1011.378,955.6976111111112,3,2,3,3,20,3821,4644
3,rate 1mbit,bikel3,rsa:2048,38.938,39.76750626566416,7.962,8.215989949748744,47.2755,47.97983668341708,2,1,2,2,406,3717,4540
3,rate 1mbit,p384,rsa:2048,15.338,15.939409017713366,3.0055,3.315156451612903,18.6875,19.24940483870968,1,1,1,1,634,685,1470
3,delay 500ms,p384,rsa:2048,503.941,505.08564705882355,502.5435,503.819625,1007.8155,1008.986,1,1,1,1,20,685,1470
3,delay 500ms,p384\_bikel3,rsa:2048,510.287,510.6609473684211,508.9945,509.6429444444444,1019.132,1019.5467777777778,3,2,3,3,20,3918,4741
3,rate 1mbit,p384\_bikel3,rsa:2048,45.1515,46.592325,9.644,10.095345403899723,55.214,56.695696378830085,2,1,2,2,366,3814,4637
3,delay 500ms,p384\_mlkem768,rsa:2048,509.7935,511.2521111111111,502.647,502.8570588235294,1013.139,1014.039294117647,1,1,1,1,20,1863,2558
3,rate 1mbit,p384\_mlkem768,rsa:2048,31.013,31.537029598308667,3.885,3.9798050847457627,34.875,35.51705720338983,1,1,1,1,482,1863,2558
5,rate 1mbit,MLKEM1024,rsa:2048,26.252,27.109274161735698,2.122,2.2995474308300397,28.6785,29.41112252964427,1,1,1,1,516,2150,2941
5,delay 500ms,MLKEM1024,rsa:2048,502.251,504.75036842105266,501.6075,504.4600555555556,1004.5535,1009.3815,1,1,1,1,20,2150,2941
5,rate 1mbit,p521,rsa:2048,17.769,18.08456492411467,4.088,4.312675675675675,22.0375,22.399579391891894,1,1,1,1,604,721,1506
5,delay 500ms,p521,rsa:2048,506.332,506.6338947368421,503.587,504.4831111111111,1010.095,1011.0616666666666,1,1,1,1,20,721,1506
5,rate 1mbit,p521\_mlkem1024,rsa:2048,38.837,40.172674641148326,4.914,5.254026378896882,44.155,45.43358513189448,1,1,1,1,425,2283,3074
5,delay 500ms,p521\_mlkem1024,rsa:2048,512.784,514.7792631578948,504.156,504.7725,1017.203,1019.7064444444444,2,1,2,2,20,2335,3126
