level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,X25519,falcon512,0.349,0.3893718526869598,4.471,4.553378840552476,4.858,4.942748285257916,3,1,3,3,10.8k,724,2919
1,,X25519,rsa:1024,0.146,0.1616456748140276,0.536,0.5431057408233968,0.699,0.704752088248422,3,1,3,3,47.8k,731,1120
1,,X25519,rsa:2048,0.15,0.18312780741618917,1.138,1.1871297918587802,1.308,1.3702609340007903,3,1,3,3,30.9k,724,1509
1,,X25519,rsa:3072,0.152,0.1874455861746847,2.621,2.685100017516202,2.809,2.872547848426461,3,1,3,3,17.4k,724,1893
1,,X25519,rsa:4096,0.152,0.18747494233591946,5.354,5.456473629023803,5.541,5.643952186222082,3,1,3,3,9.7k,724,2277
1,,X25519,p256\_falcon512,0.343,0.3839201631701632,4.683,4.755119184069937,5.064,5.139044973288004,3,1,3,3,10.5k,724,3135
2,,X25519,MLDSA44,0.148,0.16539378767416582,1.095,1.2154475261874957,1.263,1.3808429079649516,3,1,3,3,30.8k,724,6873
2,,X25519,p256\_mldsa44,0.333,0.36452538393817857,1.856,1.933696390138916,2.209,2.298218303658775,4,1,4,4,20.8k,776,7131
2,,X25519,rsa3072\_mldsa44,0.343,0.38364020142677296,3.862,3.9629187510491857,4.241,4.346539029712942,4,1,4,4,12.1k,776,8091
3,,X25519,MLDSA65,0.149,0.17260353742613263,1.494,1.678150244182706,1.67,1.8507558993721016,4,1,4,4,24.8k,776,9343
3,,X25519,p384\_mldsa65,0.333,0.36793232838965884,3.696,3.825177109507984,4.064,4.193116722055605,4,1,4,4,12.5k,776,9645
5,,X25519,MLDSA87,0.15,0.1717265490943756,1.888,2.08035430668764,2.051,2.2520768387435055,5,1,5,5,21.3k,828,12671
5,,X25519,falcon1024,0.35,0.3918421560740145,8.365,8.475541358223367,8.7605,8.867379465722562,3,1,3,3,6.3k,724,5045
5,,X25519,p521\_falcon1024,0.334,0.3801647358665431,12.504,12.653323754345307,12.881,13.033506836616455,3,1,3,3,4.4k,724,5464
5,,X25519,p521\_mldsa87,0.336,0.36781057656073357,6.321,6.461266582914573,6.6885,6.829068090452261,5,1,5,5,8.1k,828,13082
