level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,X25519,falcon512,3.815,3.8848112432617437,0.695,0.6876240800958412,4.498,4.572424952935136,1,1,1,1,11.9k,620,2812
1,,X25519,rsa:1024,0.266,0.30126335911026153,0.198,0.23110459822049212,0.527,0.5323681530654802,1,1,1,1,58.5k,627,1016
1,,X25519,rsa:2048,0.88,0.9027642941807303,0.23,0.2618850788812689,1.115,1.1646532328620214,1,1,1,1,36.0k,620,1405
1,,X25519,rsa:3072,2.273,2.3285135993226795,0.28,0.3179894163094671,2.594,2.6465053712229456,1,1,1,1,19.2k,620,1789
1,,X25519,rsa:4096,4.908,5.003882120643697,0.342,0.3836998420221169,5.295,5.387564474723538,1,1,1,1,10.3k,620,2173
1,,X25519,p256\_falcon512,3.842,3.8901627139800286,0.857,0.8601184128399465,4.698,4.750278555506019,1,1,1,1,11.4k,620,3027
2,,X25519,MLDSA44,0.179,0.19795081128697678,0.894,0.999648091841664,1.088,1.197598903128641,2,1,2,2,35.8k,672,6821
2,,X25519,p256\_mldsa44,0.357,0.3921997086368366,1.513,1.5720671856137869,1.9,1.9642622903051243,2,1,2,2,24.4k,620,7029
2,,X25519,rsa3072\_mldsa44,0.368,0.41303319470117067,3.529,3.6247574520526844,3.933,4.037780636216591,2,1,2,2,13.2k,672,7987
3,,X25519,MLDSA65,0.2,0.2174777511424077,1.323,1.5145079787234041,1.541,1.7319835181300571,3,1,3,3,27.1k,724,9291
3,,X25519,p384\_mldsa65,0.358,0.3959419114912607,3.374,3.4869075423980957,3.767,3.882844094019637,3,1,3,3,13.7k,620,9594
5,,X25519,MLDSA87,0.181,0.2004228595890411,1.6475,1.838045205479452,1.85,2.038468065068493,4,1,4,4,23.7k,776,12619
5,,X25519,falcon1024,7.599,7.665847669977082,0.834,0.8369501833740831,8.428,8.502830531784841,2,1,2,2,6.7k,672,4993
5,,X25519,p521\_falcon1024,9.206,9.271338612536248,3.317,3.359670236501562,12.5415,12.631053770638108,2,1,2,2,4.6k,672,5416
5,,X25519,p521\_mldsa87,0.363,0.40560957446808515,5.962,6.09832891936628,6.364,6.5039564908961935,4,1,4,4,8.6k,776,13029
