level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,rate 1mbit,X25519,falcon512,2.55,2.609948717948718,24.5665,24.79357020547945,27.128,27.40430479452055,3,1,3,3,597,724,2918
1,delay 500ms,X25519,falcon512,501.992,503.040875,503.789,503.6189333333333,1005.871,1006.7393333333333,3,1,3,3,20,724,2920
1,rate 1mbit,X25519,rsa:1024,2.549,2.614353284671533,9.414,9.56759649122807,12.2595,12.18187134502924,3,1,3,3,699,731,1120
1,delay 500ms,X25519,rsa:1024,500.971,501.2311111111111,501.081,501.38523529411765,1002.285,1002.5194117647059,3,1,3,3,20,731,1120
1,rate 1mbit,X25519,rsa:2048,2.668,2.643306427503737,12.84,12.860458083832334,15.307,15.504384730538922,3,1,3,3,682,724,1509
1,delay 500ms,X25519,rsa:2048,501.3575,501.8195555555556,501.901,501.96076470588235,1003.687,1003.8467058823529,3,1,3,3,20,724,1509
1,rate 1mbit,X25519,rsa:3072,2.3955,2.415952012383901,16.119,16.32736434108527,18.636,18.742562790697676,3,1,3,3,657,724,1893
1,delay 500ms,X25519,rsa:3072,501.0755,501.50783333333334,502.772,502.8417058823529,1003.916,1004.409294117647,3,1,3,3,20,724,1893
1,rate 1mbit,X25519,rsa:4096,2.5145,2.5678300970873784,19.202,19.235492706645058,21.625,21.802891410048623,3,1,3,3,632,724,2277
1,delay 500ms,X25519,rsa:4096,501.2345,502.0132222222222,505.673,505.03852941176467,1006.916,1007.0953529411764,3,1,3,3,20,724,2277
1,rate 1mbit,X25519,p256\_falcon512,2.545,2.6062739965095987,26.488,26.627912587412588,29.0065,29.23358916083916,3,1,3,3,584,724,3132
1,delay 500ms,X25519,p256\_falcon512,501.473,501.63825,504.715,504.46413333333334,1005.74,1006.089,3,1,3,3,20,724,3136
2,rate 1mbit,X25519,MLDSA44,2.772,2.66127562642369,57.897,58.161970319634705,60.414,60.82381735159817,3,1,3,3,448,724,6873
2,delay 500ms,X25519,MLDSA44,500.77,501.48747058823534,501.4985,501.542625,1002.2675,1002.979875,4,1,4,4,20,776,6925
2,delay 500ms,X25519,p256\_mldsa44,501.302,501.8881578947368,502.2625,502.8266111111111,1004.1825,1004.7701111111112,5,1,5,5,20,828,7185
2,rate 1mbit,X25519,p256\_mldsa44,2.7205,2.6476215596330275,59.787,60.02572183908046,62.13,62.67284137931035,4,1,4,4,445,776,7133
2,rate 1mbit,X25519,rsa3072\_mldsa44,2.54,2.5873430656934304,68.0265,68.26733414634145,70.468,70.85296097560975,4,1,4,4,418,776,8091
2,delay 500ms,X25519,rsa3072\_mldsa44,501.364,503.4487368421053,503.4545,503.4810555555556,1005.6135,1007.0376666666666,6,1,6,6,20,880,8195
3,rate 1mbit,X25519,MLDSA65,2.5115,2.5744088541666663,77.95,78.25197911227154,80.498,80.82736553524803,4,1,4,4,392,776,9343
3,delay 500ms,X25519,MLDSA65,500.933,501.6006111111111,501.982,502.7831764705883,1003.165,1004.3044705882353,6,1,6,6,20,880,9447
3,rate 1mbit,X25519,p384\_mldsa65,2.466,2.5210870712401054,81.654,81.99177777777777,84.4025,84.51296825396825,4,1,4,4,387,776,9647
3,delay 500ms,X25519,p384\_mldsa65,500.935,501.44273684210526,503.2265,503.40472222222223,1004.4575,1004.8101111111112,6,1,6,6,20,880,9750
5,delay 500ms,X25519,MLDSA87,501.127,501.545,1504.5485,1504.5598333333332,2006.384,2006.0965,8,1,8,7,15,984,12827
5,rate 1mbit,X25519,MLDSA87,2.5045,2.5464386503067487,105.807,106.02472,108.253,108.57227384615385,5,1,5,5,332,828,12671
5,delay 500ms,X25519,falcon1024,501.927,503.2731176470588,508.587,508.6658125,1010.228,1012.0473125,4,1,4,4,20,776,5095
5,rate 1mbit,X25519,falcon1024,2.5095,2.56814,42.253,42.548913827655305,44.917,45.11767334669339,3,1,3,3,510,724,5045
5,delay 500ms,X25519,p521\_falcon1024,501.036,501.673705882353,512.0645,511.543625,1013.341,1013.27175,4,1,4,4,20,776,5516
5,rate 1mbit,X25519,p521\_falcon1024,2.537,2.5960723140495867,47.576,47.83091511387163,50.176,50.427171842650104,3,1,3,3,492,724,5467
5,delay 500ms,X25519,p521\_mldsa87,501.299,502.17284615384614,1504.533,1508.73775,2006.1195,2011.02625,8,1,8,7,15,984,13238
5,rate 1mbit,X25519,p521\_mldsa87,2.551,2.568219435736677,110.3955,110.77955660377359,113.1075,113.34659119496855,5,1,5,5,326,828,13081
