level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,rate 1mbit,X25519,falcon512,27.981,28.340036777583187,2.066,2.3195236427320487,30.106,30.659560420315234,1,1,1,1,583,620,2815
1,delay 500ms,X25519,falcon512,505.084,505.2047058823529,501.664,502.07364705882355,1006.645,1007.2783529411764,1,1,1,1,20,620,2818
1,rate 1mbit,X25519,rsa:1024,8.6605,8.878942415730336,1.936,2.0588846694796064,10.625,10.937908579465542,1,1,1,1,724,627,1016
1,delay 500ms,X25519,rsa:1024,501.755,502.4241764705883,502.0945,504.2870625,1004.4015,1006.74975,1,1,1,1,20,627,1016
1,rate 1mbit,X25519,rsa:2048,12.319,12.643575485799701,2.077,2.2593796711509717,14.765,14.902955156950673,1,1,1,1,682,620,1405
1,delay 500ms,X25519,rsa:2048,501.622,501.7785294117647,501.9475,502.1233125,1004.029,1003.9499375,1,1,1,1,20,620,1405
1,rate 1mbit,X25519,rsa:3072,17.8275,18.17738057324841,2.086,2.3490765550239234,20.408,20.525360446570975,1,1,1,1,640,620,1789
1,delay 500ms,X25519,rsa:3072,503.0135,503.2191111111111,501.134,502.3225882352941,1004.165,1005.511705882353,1,1,1,1,20,620,1789
1,rate 1mbit,X25519,rsa:4096,24.049,24.3080974789916,2.0475,2.181804713804714,26.203,26.492343434343436,1,1,1,1,608,620,2173
1,delay 500ms,X25519,rsa:4096,506.483,507.6583333333333,501.609,501.62270588235293,1008.077,1009.4068235294118,1,1,1,1,20,620,2173
1,rate 1mbit,X25519,p256\_falcon512,29.9525,30.261330357142857,2.803,2.6799194991055457,32.855,32.941751341681574,1,1,1,1,570,620,3031
1,delay 500ms,X25519,p256\_falcon512,504.694,505.27347368421056,501.731,502.3773333333333,1006.827,1007.6467777777777,2,1,2,2,20,672,3081
2,rate 1mbit,X25519,MLDSA44,35.816,36.7281159090909,23.634,23.63530979498861,59.842,60.36500683371299,2,1,2,2,450,672,6821
2,delay 500ms,X25519,MLDSA44,501.428,501.8488333333333,501.581,501.5796470588235,1003.323,1003.5006470588236,3,1,3,3,20,724,6873
2,delay 500ms,X25519,p256\_mldsa44,501.2865,504.9783888888889,502.566,505.4715882352941,1004.157,1010.676705882353,3,1,3,3,20,724,7081
2,rate 1mbit,X25519,p256\_mldsa44,35.801,36.05307482993197,26.105,26.19114090909091,61.8585,62.24349090909091,2,1,2,2,451,672,7027
2,rate 1mbit,X25519,rsa3072\_mldsa44,35.793,36.033697841726614,33.939,34.15606490384615,70.137,70.19041346153847,2,1,2,2,427,672,7987
2,delay 500ms,X25519,rsa3072\_mldsa44,501.3575,501.591,504.369,504.5045294117647,1005.554,1006.1508823529412,4,1,4,4,20,776,8091
3,rate 1mbit,X25519,MLDSA65,35.887,36.6360987012987,43.8495,43.32898958333334,79.7185,79.96666927083332,3,1,3,3,392,724,9291
3,delay 500ms,X25519,MLDSA65,500.837,501.29282352941175,501.708,502.9905625,1003.087,1004.31575,5,1,5,5,20,828,9395
3,rate 1mbit,X25519,p384\_mldsa65,35.887,36.53522606382979,46.963,46.636826666666664,82.996,83.175136,3,1,3,3,384,724,9594
3,delay 500ms,X25519,p384\_mldsa65,501.166,501.3038235294117,503.7925,504.0575,1005.17,1005.3938125,5,1,5,5,20,828,9699
5,delay 500ms,X25519,MLDSA87,501.586,503.68005555555555,502.342,507.3192941176471,1004.318,1010.9685882352941,7,1,7,7,20,932,12775
5,rate 1mbit,X25519,MLDSA87,35.803,36.089613981762916,71.903,71.71300609756098,107.5385,107.80469512195123,4,1,4,4,337,776,12619
5,delay 500ms,X25519,falcon1024,509.177,510.8920555555556,501.513,502.1701176470588,1011.014,1013.1832352941177,3,1,3,3,20,724,5044
5,rate 1mbit,X25519,falcon1024,43.286,43.73648631578948,8.398,8.403816067653276,51.732,52.12915010570825,2,1,2,2,483,672,4994
5,delay 500ms,X25519,p521\_falcon1024,510.781,511.1473888888889,504.38,504.28817647058827,1015.02,1015.48,3,1,3,3,20,724,5464
5,rate 1mbit,X25519,p521\_falcon1024,44.9855,45.23966519823789,13.238,13.211905077262694,58.229,58.45060927152318,2,1,2,2,462,672,5414
5,delay 500ms,X25519,p521\_mldsa87,501.14,501.635,1503.4045,1503.6166666666668,2004.7455,2005.32,7,1,7,7,15,932,13186
5,rate 1mbit,X25519,p521\_mldsa87,36.275,36.67563406940063,76.108,76.15904746835443,112.3435,112.83773101265822,4,1,4,4,323,776,13028
