level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,X25519,rsa:2048,0.129,0.1658472582004307,1.009,1.1604436329588015,1.164,1.3263473132372214,3,1,3,3,32.7k,689,1436
1,,bikel1,rsa:2048,0.217,0.2257550769734687,3.899,3.6491457582705538,4.119,3.8747928355279297,3,1,3,3,12.4k,2198,2977
1,,hqc128,rsa:2048,0.189,0.22007091882247992,1.1615,1.2179857907480565,1.407,1.4380557767655209,3,1,3,3,31.9k,2906,5885
1,,kyber512,rsa:2048,0.167,0.17323708574235724,1.451,1.4088786561862292,1.645,1.582128670218796,3,1,3,3,27.1k,1457,2172
1,,kyber90s512,rsa:2048,0.15,0.1512867800554396,1.242,1.3002337360117724,1.379,1.451727126586175,3,1,3,3,29.7k,1457,2172
1,,p256,rsa:2048,0.213,0.21021248950691632,1.32,1.3280729223694296,1.535,1.538173646578141,3,1,3,3,27.9k,722,1469
1,,p256\_bikel1,rsa:2048,0.198,0.2328161595951274,2.473,2.5243276054846113,2.695,2.7571252792475014,3,1,3,3,17.3k,2159,3042
1,,p256\_hqc128,rsa:2048,0.413,0.40653721144967686,1.6885,1.6531581717451524,2.073,2.0598140865872794,3,1,3,3,22.0k,2971,5950
1,,p256\_kyber512,rsa:2048,0.182,0.21253684684684684,1.049,1.09729565452416,1.246,1.3098119483638548,3,1,3,3,33.9k,1522,2237
3,,bikel3,rsa:2048,0.257,0.2911657644652953,5.522,5.621913749548899,5.813,5.912592147916917,3,1,3,3,8.5k,3740,4519
3,,hqc192,rsa:2048,0.438,0.46366623819866143,1.562,1.5924621692300873,1.985,2.0561021267168806,4,1,4,4,22.9k,5231,10482
3,,kyber768,rsa:2048,0.133,0.17068395341313491,1.04,1.2030343578130056,1.204,1.373602373407489,3,1,3,3,31.5k,1841,2492
3,,kyber90s768,rsa:2048,0.117,0.14344664531107648,1.005,1.10916281188468,1.131,1.2525981368832466,3,1,3,3,34.5k,1841,2492
3,,p384,rsa:2048,1.616,1.7650217487401643,1.941,2.0695803200424363,3.637,3.8358203159474007,3,1,3,3,11.5k,754,1501
3,,p384\_bikel3,rsa:2048,1.613,1.8422364125216055,6.4705,7.351100268920477,8.1605,9.193213023434499,3,1,3,3,5.3k,3837,4616
3,,p384\_hqc192,rsa:2048,2.091,2.255949060448268,2.7025,2.83970647498302,4.891,5.095525297113752,4,1,4,4,9.0k,5328,10579
3,,p384\_kyber768,rsa:2048,1.405,1.4302798938383186,1.694,1.722076393372068,3.063,3.1526399255067687,3,1,3,3,14.2k,1938,2589
5,,hqc256,rsa:2048,0.885,0.9055074901445466,2.172,2.2430278580814718,3.056,3.1464802942722017,5,2,5,5,15.5k,8058,16029
5,,kyber1024,rsa:2048,0.245,0.2607701836638135,1.599,1.5532857327196867,1.884,1.8140767245828315,3,1,3,3,23.6k,2225,2972
5,,kyber90s1024,rsa:2048,0.208,0.22506563061369428,1.554,1.5290629151522748,1.793,1.7541632508243936,3,1,3,3,24.4k,2225,2972
5,,p521,rsa:2048,3.973,4.011459794837855,3.1035,3.1959637657180675,7.041,7.206890852047556,3,1,3,3,6.2k,790,1537
5,,p521\_hqc256,rsa:2048,4.837,5.113115342525717,4.564,4.842363099146422,9.579,9.928612276103102,5,2,5,5,4.7k,8191,16162
5,,p521\_kyber1024,rsa:2048,3.09,3.1675241581259153,2.569,2.6308615548455805,5.672,5.798438661710037,3,1,3,3,7.7k,2358,3105
