level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,loss 10% delay 100ms rate 1mbit,X25519,rsa:2048,102.273,116.94931578947369,111.757,207.47083783783785,214.039,324.8188648648649,3,1,3,3,42,689,1436
1,loss 4% delay 22ms rate 880mbit,X25519,rsa:2048,22.462,33.72148351648352,23.52,49.11622651933701,46.055,82.90000552486187,3,1,3,3,187,689,1436
1,loss 10%,X25519,rsa:2048,0.202,33.8585730994152,1.3645,33.02205294117647,1.707,67.07907647058823,3,1,3,3,177,689,1436
1,rate 1mbit,X25519,rsa:2048,2.24,2.2491300699300703,11.745,11.782186013986014,13.985,14.031068055555556,3,1,3,3,734,689,1436
1,delay 500ms,X25519,rsa:2048,500.601,500.6879411764706,501.563,501.514125,1002.222,1002.203625,3,1,3,3,20,689,1436
1,rate 1mbit,bikel1,rsa:2048,15.155,15.205934065934066,11.695,11.699619047619048,26.864,26.905669708029194,3,1,3,3,559,2198,2977
1,loss 4% delay 22ms rate 880mbit,bikel1,rsa:2048,22.4895,39.57446875,25.2955,43.524286458333336,47.8005,83.09875520833333,3,1,3,3,198,2198,2977
1,loss 10% delay 100ms rate 1mbit,bikel1,rsa:2048,115.149,160.43629032258065,112.094,390.9608387096774,227.207,551.397129032258,3,1,3,3,33,2198,2977
1,delay 500ms,bikel1,rsa:2048,500.683,500.85436842105264,503.497,503.3330555555556,1004.066,1004.1369444444445,3,1,3,3,20,2198,2977
1,loss 10%,bikel1,rsa:2048,0.256,35.75802290076336,2.93,31.575129770992366,3.284,67.33315267175573,3,1,3,3,142,2198,2977
1,loss 4% delay 22ms rate 880mbit,hqc128,rsa:2048,22.638,29.324087719298248,23.383,54.88069005847953,46.115,84.20477777777778,4,1,4,4,178,2958,5937
1,loss 10% delay 100ms rate 1mbit,hqc128,rsa:2048,125.008,130.71414634146342,126.232,252.01915,251.2595,382.8773,4,1,4,4,42,2958,5937
1,delay 500ms,hqc128,rsa:2048,500.756,500.8919444444444,501.394,501.32711764705886,1002.15,1002.0867647058823,4,1,4,4,20,2958,5937
1,rate 1mbit,hqc128,rsa:2048,39.497,39.64048364485981,11.665,11.611995327102804,51.195,51.252382284382286,3,1,3,3,438,2906,5885
1,loss 10%,hqc128,rsa:2048,0.311,39.65020143884892,1.466,58.97930935251799,1.796,98.62995683453238,7,1,3,3,142,2906,5885
1,loss 10%,kyber512,rsa:2048,0.183,20.33825185185185,1.3775,33.61034328358209,1.661,54.09842537313433,3,1,3,3,137,1457,2172
1,delay 500ms,kyber512,rsa:2048,500.541,501.0016111111111,501.391,501.4510588235294,1002.089,1002.4867058823529,3,1,3,3,20,1457,2172
1,rate 1mbit,kyber512,rsa:2048,8.166,8.190325320512821,11.7345,11.732815705128205,19.898,19.923404153354635,3,1,3,3,639,1457,2172
1,loss 4% delay 22ms rate 880mbit,kyber512,rsa:2048,22.444,29.7678,23.407,40.08128108108108,45.935,69.84908108108108,3,1,3,3,189,1457,2172
1,loss 10% delay 100ms rate 1mbit,kyber512,rsa:2048,108.1695,146.07566666666665,111.7165,308.4163611111111,219.9325,447.3528611111111,3,1,3,3,39,1457,2172
1,loss 10% delay 100ms rate 1mbit,kyber90s512,rsa:2048,108.179,182.5239,111.749,408.7017142857143,220.2715,596.5365714285715,3,1,3,3,32,1457,2172
1,delay 500ms,kyber90s512,rsa:2048,500.483,500.6283888888889,501.483,501.3738235294117,1002.012,1002.0013529411764,3,1,3,3,20,1457,2172
1,loss 4% delay 22ms rate 880mbit,kyber90s512,rsa:2048,22.435,30.063,23.518,43.736708542713565,45.996,73.79970854271357,2,1,3,3,206,1457,2172
1,loss 10%,kyber90s512,rsa:2048,0.175,17.68,1.523,68.46000621118012,1.764,86.10884472049689,4,1,3,3,166,1457,2172
1,rate 1mbit,kyber90s512,rsa:2048,8.172,8.19434364820847,11.714,11.726654723127035,19.888,19.921077170418005,3,1,3,3,635,1457,2172
1,delay 500ms,p256,rsa:2048,500.684,501.012,501.38,501.383875,1002.0655,1002.378375,3,1,3,3,20,722,1469
1,rate 1mbit,p256,rsa:2048,2.503,2.5105056657223797,11.74,11.763699716713882,14.245,14.273908450704226,3,1,3,3,723,722,1469
1,loss 10% delay 100ms rate 1mbit,p256,rsa:2048,102.536,137.73497058823529,111.759,348.73790909090906,214.398,487.5399393939394,3,1,3,3,35,722,1469
1,loss 4% delay 22ms rate 880mbit,p256,rsa:2048,22.526,33.12097435897436,23.3335,39.45980412371134,45.941,72.6359175257732,3,1,3,3,201,722,1469
1,loss 10%,p256,rsa:2048,0.216,12.838709923664123,1.184,18.71053846153846,1.479,31.6647,3,1,3,3,132,722,1469
1,loss 10%,p256\_bikel1,rsa:2048,0.3345,23.65974561403509,2.741,46.501469026548676,3.078,70.36729203539824,3,1,3,3,117,2211,3042
1,loss 10% delay 100ms rate 1mbit,p256\_bikel1,rsa:2048,116.003,182.5534054054054,112.168,331.9241944444444,246.4505,516.3165,4,1,3,3,39,2263,3042
1,loss 4% delay 22ms rate 880mbit,p256\_bikel1,rsa:2048,22.678,31.934561643835615,25.391,42.05946575342466,48.062,73.77622869955157,3,1,3,3,231,2263,3042
1,delay 500ms,p256\_bikel1,rsa:2048,500.81,501.0407368421053,503.4645,503.3118888888889,1004.2735,1004.3366111111112,3,1,3,3,20,2263,3042
1,rate 1mbit,p256\_bikel1,rsa:2048,15.697,15.761554730983303,11.693,11.68295176252319,27.408,27.444162661737526,3,1,3,3,552,2263,3042
