level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,X25519,falcon512,0.186,0.1859491089635606,4.416,4.498292490469013,4.587,4.683237049499691,3,1,3,3,11.5k,689,2850
1,,X25519,rsa:1024,0.187,0.18427163575332442,0.51,0.506506982549007,0.693,0.6907975171048668,3,1,3,3,47.2k,689,1047
1,,X25519,rsa:2048,0.184,0.18112518832556673,1.217,1.2913700420462508,1.379,1.4727480218472098,3,1,3,3,29.1k,689,1436
1,,X25519,rsa:3072,0.184,0.18136419065101947,2.9755,3.1095824809861004,3.139,3.2909521374246,3,1,3,3,15.5k,689,1820
1,,X25519,rsa:4096,0.184,0.18227792881858626,6.4815,6.507117029164607,6.67,6.688568465242622,3,1,3,3,8.2k,689,2204
1,,X25519,sphincs128,0.1655,0.17798133971291866,5.929,6.2837359732025355,6.096,6.461724249312119,8,1,8,8,8.5k,949,35146
1,,X25519,p256\_falcon512,0.167,0.1770613731900981,4.896,4.759285287248949,5.063,4.936122690800523,3,1,3,3,10.9k,689,3064
1,,X25519,p256\_sphincs128,0.16,0.1737947406866326,5.931,6.419304882503348,6.085,6.59309606721052,7,1,8,8,8.3k,949,35364
2,,X25519,dilithium2,0.182,0.18020111378306544,1.02,1.086470573345146,1.213,1.2667543493389006,3,1,3,3,32.1k,689,6806
2,,X25519,dilithium2\_aes,0.17,0.18172882421886166,0.862,0.9232825328759291,1.046,1.1049965704486997,3,1,3,3,35.6k,689,6806
2,,X25519,p256\_dilithium2,0.164,0.17602267315457087,1.217,1.2827623522907885,1.392,1.4587473487857958,3,1,3,3,29.4k,689,7010
2,,X25519,rsa3072\_dilithium2,0.181,0.18143930962174368,4.016,3.959949834664086,4.183,4.14138914428583,4,1,4,4,12.6k,741,8021
3,,X25519,dilithium3,0.165,0.17832840609602382,1.35,1.4930772756789792,1.544,1.6712605873143163,4,1,4,4,26.6k,741,9244
3,,X25519,sphincs192,0.126,0.16209135640478922,7.42,8.969353452517632,7.561,9.132020662512298,8,1,10,10,6.2k,1053,72462
3,,X25519,dilithium3\_aes,0.171,0.18124719292856897,1.09,1.2331611890379166,1.283,1.414334015764152,4,1,4,4,29.8k,741,9244
3,,X25519,p384\_dilithium3,0.154,0.16469884463362724,3.52,3.736828747339617,3.6795,3.901836398176292,4,1,4,4,13.4k,637,9543
3,,X25519,p384\_sphincs192,0.159,0.16339438153310107,11.463,12.22205467218471,11.62,12.385463079939012,10,1,8,8,4.7k,845,72674
5,,X25519,dilithium5,0.157,0.17361962890625,1.76,1.8645040174013408,1.925,2.038352930736123,5,1,5,5,22.9k,793,12540
5,,X25519,falcon1024,0.187,0.1863260980159403,9.2265,9.276212008141114,9.4275,9.462534430122117,3,1,3,3,6.0k,689,4977
5,,X25519,sphincs256,0.168,0.19026319327731092,19.237,18.9992531092437,19.403,19.189524705882352,12,1,12,12,3.0k,1157,101010
5,,X25519,dilithium5\_aes,0.175,0.18277998792179362,1.342,1.4787284770711455,1.537,1.6615431115806951,5,1,5,5,27.0k,793,12540
5,,X25519,p521\_dilithium5,0.159,0.16916633426406064,6.862,7.15600332402606,7.032,7.325169658290121,5,1,5,5,7.7k,689,12947
5,,X25519,p521\_falcon1024,0.16,0.1666966467377177,14.289,14.547053548219392,14.4705,14.717226943005182,3,1,3,3,3.9k,637,5396
5,,X25519,p521\_sphincs256,0.159,0.16386145069274652,22.115,23.228085609457807,22.294,23.39197390949857,12,1,11,10,2.5k,949,101383
