level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,loss 10%,X25519,falcon512,0.1945,14.079607142857144,4.691,42.97143165467626,4.996,57.150726618705036,3,1,3,3,146,689,2855
1,rate 1mbit,X25519,falcon512,2.237,2.258255284552846,23.551,23.577521951219513,25.796,25.836705314009663,3,1,3,3,633,689,2844
1,loss 4% delay 22ms rate 880mbit,X25519,falcon512,22.492,34.85831693989071,26.816,53.33229120879121,49.3995,88.25523076923076,3,1,3,3,186,689,2850
1,loss 10% delay 100ms rate 1mbit,X25519,falcon512,102.3145,155.6266052631579,123.613,436.2415675675676,225.922,586.2578108108108,3,1,3,3,39,689,2850
1,delay 500ms,X25519,falcon512,500.613,500.8519411764706,505.0715,504.8928125,1005.747,1005.772125,3,1,3,3,20,689,2846
1,delay 500ms,X25519,rsa:1024,500.54,500.7345882352941,500.7765,501.144,1001.4805,1001.8923125,3,1,3,3,20,689,1047
1,rate 1mbit,X25519,rsa:1024,2.241,2.2744751009421265,8.646,8.65334589502019,10.891,10.927680053547524,3,1,3,3,761,689,1047
1,loss 10% delay 100ms rate 1mbit,X25519,rsa:1024,102.288,145.73795238095238,108.638,195.4332195121951,210.916,342.2243414634146,3,1,3,3,45,689,1047
1,loss 4% delay 22ms rate 880mbit,X25519,rsa:1024,22.502,31.562222772277227,22.644,40.755465346534656,45.213,72.0514362745098,3,1,3,3,208,689,1047
1,loss 10%,X25519,rsa:1024,0.184,13.264972027972028,0.4965,36.85897887323944,0.8115,58.94831690140845,3,1,3,3,152,689,1047
1,loss 10%,X25519,rsa:2048,0.19,22.28259731543624,1.404,13.781187919463086,1.689,37.456006711409394,2,1,3,3,161,689,1436
1,delay 500ms,X25519,rsa:2048,500.537,500.69523529411765,501.8635,501.8088125,1002.383,1002.3685625,3,1,3,3,20,689,1436
1,rate 1mbit,X25519,rsa:2048,2.242,2.256541963015647,11.752,11.76819345661451,13.998,14.024621468926554,3,1,3,3,724,689,1436
1,loss 4% delay 22ms rate 880mbit,X25519,rsa:2048,22.482,38.99412849162011,23.642,40.48790502793297,46.281,79.48203351955307,3,1,3,3,184,689,1436
1,loss 10% delay 100ms rate 1mbit,X25519,rsa:2048,102.279,145.86955,111.736,276.2092564102564,214.048,423.2049743589743,3,1,3,3,42,689,1436
1,delay 500ms,X25519,rsa:3072,500.618,500.79264705882355,503.2105,503.3325,1004.3555,1004.1381875,3,1,3,3,20,689,1820
1,loss 10%,X25519,rsa:3072,0.1915,10.262163461538462,2.973,69.21086538461539,3.221,77.518125,3,1,3,3,106,689,1820
1,loss 4% delay 22ms rate 880mbit,X25519,rsa:3072,22.481,33.79067231638418,25.5455,36.74430681818182,48.234,70.5995,3,1,3,3,183,689,1820
1,rate 1mbit,X25519,rsa:3072,2.241,2.2527050147492624,14.844,14.875646017699115,17.089,17.127195620437956,3,1,3,3,699,689,1820
1,loss 10% delay 100ms rate 1mbit,X25519,rsa:3072,102.259,121.75320689655172,336.682,624.98,469.0525,747.4299285714285,3,1,3,3,32,689,1820
1,loss 10% delay 100ms rate 1mbit,X25519,rsa:4096,102.282,117.51913513513514,117.903,273.4111142857143,220.191,391.8020571428571,3,1,3,3,40,689,2204
1,loss 10%,X25519,rsa:4096,0.199,41.19384057971015,5.833,64.88765693430656,6.375,112.39556934306569,3,1,3,3,141,689,2204
1,delay 500ms,X25519,rsa:4096,500.595,500.74888235294117,507.317,507.196875,1008.069,1007.955375,3,1,3,3,20,689,2204
1,loss 4% delay 22ms rate 880mbit,X25519,rsa:4096,22.475,26.827035714285714,29.376,42.751,51.944,70.83115577889447,3,1,3,3,205,689,2204
