level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,X25519,rsa:2048,0.245775,0.31203701864514954,1.475725,1.4831883091862321,1.76795,1.7952172625028493,3,1,3,3,22.3k,689,1455
1,,bikel1,rsa:2048,0.24295,0.2717636019469161,2.787587,2.8290383409903397,3.0793,3.0918036233361224,4,2,4,3,13.4k,2250,3048
1,,hqc128,rsa:2048,0.269375,0.33375494742703354,1.483676,1.4736156141352268,1.780313,1.801297486890343,6,2,6,3,21.9k,2958,6060
1,,kyber512,rsa:2048,0.199163,0.24069652550820955,1.779075,1.782638268289107,1.9983,2.0233300301519814,3,1,3,3,20.8k,1457,2191
1,,kyber90s512,rsa:2048,0.185962,0.23229995936045936,1.785588,1.7960881425671997,1.99855,2.0283903388446114,3,1,3,3,20.5k,1457,2191
1,,p256,rsa:2048,0.333637,0.39001268034007397,1.501294,1.495128702565088,1.860425,1.8851391979056584,3,1,3,3,21.2k,722,1488
1,,p256\_bikel1,rsa:2048,0.418425,0.45730421231278695,2.582531,2.5783964023031767,3.034606,3.0288427002860154,4,2,4,3,13.5k,2315,3113
1,,p256\_hqc128,rsa:2048,0.522387,0.5227470413395607,1.312538,1.3545752824844721,1.854687,1.8739525154782608,6,2,6,3,20.5k,3023,6125
1,,p256\_kyber512,rsa:2048,0.513063,0.49572929956147843,1.80605,1.8218876937578312,2.313937,2.317612909955576,3,1,3,3,17.9k,1522,2256
3,,bikel3,rsa:2048,0.419988,0.41203760791525673,6.068987,6.072977766004415,6.482187,6.464047817566573,5,3,5,3,6.9k,3844,4642
3,,hqc192,rsa:2048,0.529356,0.5230007612876254,1.403225,1.438869278158156,1.9382,1.951592374706036,9,4,9,4,19.5k,5387,10761
3,,kyber768,rsa:2048,0.252449,0.28262257514604355,1.816275,1.8209401130171543,2.081062,2.100057904190345,3,2,3,3,19.2k,1893,2511
3,,kyber90s768,rsa:2048,0.197599,0.238594198038735,1.777725,1.7790530141708345,1.993756,2.0123525873786408,3,2,3,3,20.7k,1893,2511
3,,p384,rsa:2048,3.086387,3.1028347899477047,2.631862,2.6337734114484963,5.73215,5.736610420165626,3,1,3,3,7.0k,754,1520
3,,p384\_bikel3,rsa:2048,3.226243,3.2614520162444935,9.003463,9.00651610355274,12.257275,12.183495670614155,5,3,5,3,3.7k,3941,4739
3,,p384\_hqc192,rsa:2048,3.385781,3.4249100857712764,3.300438,3.30872902560266,6.728413,6.659672105403159,9,4,9,4,6.1k,5484,10858
3,,p384\_kyber768,rsa:2048,3.166219,3.191666319087889,2.715312,2.7168067458087903,5.903575,5.872718038211751,3,2,3,3,6.7k,1990,2608
5,,hqc256,rsa:2048,0.721443,0.7329593028,1.91675,1.9242278818587906,2.646563,2.629130565571038,12,6,12,4,15.3k,8214,16412
5,,kyber1024,rsa:2048,0.250299,0.304358845631018,1.777376,1.796371080638517,2.074656,2.0974565478887746,4,2,4,3,19.8k,2277,3043
5,,kyber90s1024,rsa:2048,0.219999,0.27623148429853184,1.781493,1.7947741742632812,2.041944,2.0671159045069847,4,2,4,3,20.0k,2277,3043
5,,p521,rsa:2048,6.970993,6.995784064642213,5.301838,5.307326308571429,12.293212,12.303133455037594,3,1,3,3,3.4k,790,1556
5,,p521\_hqc256,rsa:2048,7.519737,7.543460470038249,9.383437,9.35973168494898,16.907618,16.622773288265307,12,6,12,4,2.4k,8347,16545
5,,p521\_kyber1024,rsa:2048,7.064862,7.093344630421503,5.409663,5.415037315307058,12.496175,12.470064234647111,4,2,4,3,3.3k,2410,3176
